TLOC,SEXO,EDAD_V,NIV,Ser_indig,Distancia,Ingreso,Edu_fin,Tener_conyuge,Primaria,Secundaria,Preparatoria,Carrera,Afore,Seguro,Credito,Empenio,Amistad,Familiar,Microfinanza,Credit_Fintech,Nomina_Cuenta,Cuenta_Fintech
0,1,36,8,1,5,12000,,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1
1,1,40,2,1,,0,,1,1,0,0,0,0,0,,0,0,0,0,0,,0
1,0,37,3,1,,0,,0,0,1,0,0,1,0,,0,0,0,0,0,,0
1,1,65,2,0,,4320,,0,1,0,0,0,0,0,,0,0,0,0,0,0,0
1,1,22,6,1,,7200,,1,0,0,1,0,1,0,,0,0,0,0,0,1,0
1,0,53,2,0,,0,0,0,1,0,0,0,0,0,,0,0,0,0,0,,0
1,1,45,2,0,45,10400,,0,1,0,0,0,0,0,,0,0,0,0,0,0,0
0,1,50,2,0,,7200,,0,1,0,0,0,1,0,,0,0,0,0,0,,0
1,0,47,6,0,,1600,0,0,0,0,1,0,1,0,,0,0,0,0,0,,0
0,0,60,2,0,,6000,0,0,1,0,0,0,0,0,,0,0,0,0,0,,0
0,0,26,8,0,5,1200,,1,0,0,0,1,0,0,,0,0,0,0,0,0,0
1,0,67,2,0,,0,,0,1,0,0,0,0,0,,0,0,0,0,0,,0
0,0,32,3,1,,3000,1,1,0,1,0,0,0,0,,0,1,1,0,0,1,0
1,1,73,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0
1,0,25,3,0,,7200,,0,0,1,0,0,0,0,1,0,1,1,0,0,,0
1,0,26,8,0,8,0,0,1,0,0,0,1,0,0,,0,0,0,0,0,1,0
0,0,63,0,1,30,2800,,0,0,0,0,0,0,1,,0,0,0,0,0,0,0
1,0,78,3,0,,0,0,0,0,1,0,0,0,0,,0,0,0,0,0,0,0
0,0,52,3,1,,0,,1,0,1,0,0,0,0,,0,0,0,0,0,,0
1,0,85,0,0,,4000,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0
1,1,69,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0
0,0,70,2,0,5,0,,0,1,0,0,0,0,0,,0,0,0,0,0,0,0
1,0,56,2,0,,0,0,0,1,0,0,0,0,0,,0,0,0,0,0,,0
1,1,62,6,0,30,4800,,1,0,0,1,0,1,0,,0,0,0,0,0,,0
1,0,34,8,0,40,2000,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,49,3,0,,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,,0
1,0,30,3,0,,0,0,1,0,1,0,0,0,0,,0,0,0,0,0,,0
0,0,38,3,0,5,4800,,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0
1,1,38,3,0,,8000,,1,0,1,0,0,1,0,1,0,0,0,0,0,,0
1,1,54,0,1,,0,,1,0,0,0,0,0,0,,0,0,0,0,0,,0
0,0,27,3,0,,0,,1,0,1,0,0,0,0,,0,0,0,0,0,,0
0,0,40,6,0,,6000,,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0
1,1,54,0,1,0,2400,1,0,0,0,0,0,0,0,,0,0,1,0,0,0,0
1,0,32,6,0,50,3420,0,1,0,0,1,0,0,0,,0,1,0,0,0,,0
1,1,34,3,0,,4800,,0,0,1,0,0,0,0,,0,0,0,0,0,,0
0,0,45,8,0,10,0,,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0
1,0,35,8,1,,15000,0,0,0,0,0,1,1,1,,0,0,0,0,0,1,0
1,0,44,3,0,5,10000,,0,0,1,0,0,1,1,,0,1,0,0,0,1,0
0,1,26,6,1,,4000,,1,0,0,1,0,0,0,,0,1,1,0,0,,0
1,0,63,3,1,30,0,,0,0,1,0,0,0,0,,0,0,0,0,0,,0
1,1,50,3,0,,9000,,1,0,1,0,0,0,0,,0,0,0,0,0,,0
0,0,67,2,0,0,0,,0,1,0,0,0,0,0,,0,0,0,0,0,0,0
1,1,51,2,1,0,12000,0,1,1,0,0,0,0,0,,0,0,0,0,0,1,0
0,0,22,3,0,,6400,,0,0,1,0,0,0,0,,0,0,0,0,0,,0
1,1,52,2,1,30,6000,,0,1,0,0,0,0,0,,0,0,0,0,0,,0
0,0,29,6,1,10,0,,0,0,0,1,0,0,1,,0,0,0,0,0,,0
1,1,67,2,0,10,0,,0,1,0,0,0,0,0,,0,0,1,0,0,0,0
1,1,48,2,1,,0,0,1,1,0,0,0,0,0,,0,0,0,0,0,,0
0,0,48,3,1,,1600,0,0,0,1,0,0,1,0,,0,0,0,0,0,,0
1,1,32,6,1,20,9200,0,1,0,0,1,0,1,0,1,0,1,0,0,0,1,0
1,1,27,3,1,,4800,0,1,0,1,0,0,1,0,,0,0,0,0,0,,0
1,0,37,2,1,,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
1,0,55,3,0,,0,,0,0,1,0,0,0,0,,0,0,0,0,0,,0
1,0,51,6,0,,10000,1,0,0,0,1,0,1,0,0,1,1,1,0,0,1,0
0,0,50,3,0,15,4000,0,0,0,1,0,0,0,0,,0,0,0,0,0,1,0
0,1,19,2,1,,4000,,1,1,0,0,0,0,0,,0,0,0,0,0,,0
0,0,35,2,0,,0,0,1,1,0,0,0,0,0,,0,1,1,0,0,,0
1,0,22,6,0,,0,,1,0,0,1,0,0,0,1,0,0,0,0,0,,0
0,0,28,8,0,15,3000,0,1,0,0,0,1,1,1,1,0,0,0,0,0,1,0
1,0,39,2,1,30,0,,1,1,0,0,0,0,0,,0,0,0,0,0,,0
1,1,30,3,1,,8000,,0,0,1,0,0,0,0,,0,0,0,0,0,,0
1,1,59,2,1,,6000,0,0,1,0,0,0,0,0,,0,0,0,0,0,,0
1,0,43,0,1,,0,0,0,0,0,0,0,0,0,,0,1,0,0,0,,0
0,1,31,3,0,30,8000,,1,0,1,0,0,1,0,1,0,0,1,0,0,1,1
1,1,55,3,1,,4000,0,1,0,1,0,0,0,0,,0,1,1,0,0,,0
